"Count","DofW","Site","Intervention","ZeroCal","Sugary","Juice100","Ojuice","Sports","Total"
206,6,"HF","wash",62,35,,,1,628
207,7,"HF","wash",42,55,,,2,536
208,1,"HF","follow",92,221,,,20,2126
209,2,"HF","follow",74,204,,,8,2213
210,3,"HF","follow",124,204,,,8,2263
211,4,"HF","follow",151,203,,,14,2460
212,5,"HF","follow",124,243,,,8,2121
213,6,"HF","follow",25,67,,,12,583
214,7,"HF","follow",16,60,,,13,565
215,1,"HF","follow",,,,,,
216,2,"HF","follow",,,,,,
217,3,"HF","follow",,,,,,
218,4,"HF","follow",,,,,,
219,5,"HF","follow",,,,,,
220,6,"HF","follow",,,,,,
221,7,"HF","follow",,,,,,
20,2,"NS","preint",582,269,0,,,2179
21,3,"NS","preint",718,357,0,,,2189
22,4,"NS","dismes",856,512,0,,,2209
23,5,"NS","dismes",697,478,0,,,2174
24,6,"NS","dismes",9,26,0,,,674
25,7,"NS","dismes",30,15,0,,,505
26,1,"NS","dismes",346,279,0,,,2113
27,2,"NS","dismes",537,432,0,,,2180
28,3,"NS","dismes",676,550,177,,,2192
29,4,"NS","dismes",879,698,230,,,2145
30,5,"NS","dismes",1000,782,251,,,2103
31,6,"NS","dismes",349,356,32,,,686
32,7,"NS","dismes",266,167,121,,,553
33,1,"NS","dismes",781,446,112,,,2040
34,2,"NS","dismes",515,244,167,,,2200
35,3,"NS","dismes",227,155,49,,,2203
36,4,"NS","dismes",224,178,57,,,2289
37,5,"NS","dismes",219,199,73,,,2166
38,6,"NS","dismes",69,74,22,,,706
39,7,"NS","dismes",76,35,18,,,665
40,1,"NS","dismes",220,172,54,,,2130
41,2,"NS","dismes",224,140,41,,,2123
42,3,"NS","dismes",202,146,55,,,1972
43,4,"NS","wash",27,23,6,,,327
44,5,"NS","wash",100,107,30,,,1111
45,6,"NS","wash",49,23,17,,,565
46,7,"NS","wash",36,37,11,,,453
47,1,"NS","wash",215,139,35,,,2057
48,2,"NS","wash",225,138,49,,,2196
49,3,"NS","wash",197,150,44,,,2122
50,4,"NS","dis ",282,214,67,,,2300.1569767442
51,5,"NS","dis ",229,183,56,,,2180.8662790698
52,6,"NS","dis ",65,60,25,,,676.2887596899
53,7,"NS","dis ",62,48,11,,,517.8604651163
54,1,"NS","dis ",214,159,48,,,2189
55,2,"NS","dis ",236,152,34,,,2202
56,3,"NS","dis ",243,183,42,,,2314
57,4,"NS","dis ",254,163,46,,,2165
58,5,"NS","dis ",208,161,49,,,2233
59,6,"NS","dis ",70,82,21,,,666
60,7,"NS","dis ",66,64,15,,,542
61,1,"NS","dis ",261,151,44,,,2091
62,2,"NS","dis ",152,86,34,,,1067
63,3,"NS","dis ",266,170,45,,,2112
64,4,"NS","dis ",255,196,53,,,2183
65,5,"NS","dis ",202,153,59,,,1809
66,6,"NS","dis ",86,64,27,,,659
67,7,"NS","dis ",61,52,9,,,543
68,1,"NS","dis ",227,146,50,,,2041
69,2,"NS","dis ",225,168,60,,,2042
70,3,"NS","dis ",197,184,46,,,1956
71,4,"NS","wash",133,105,33,,,1208
72,5,"NS","wash",41,43,25,,,915
73,6,"NS","wash",48,50,23,,,500
74,7,"NS","wash",57,51,18,,,484
75,1,"NS","wash",204,143,41,,,1103
76,2,"NS","wash",242,158,57,,,2035
77,3,"NS","wash",208,184,49,,,2170
78,4,"NS","wash2",226,180,53,,,1710
79,5,"NS","wash2",37,38,22,,,543
80,6,"NS","wash2",48,49,15,,,477
81,7,"NS","wash2",49,54,14,,,496
82,1,"NS","wash2",221,153,58,,,2035
83,2,"NS","wash2",171,225,70,,,2145
84,3,"NS","wash2",189,212,60,,,2305
85,4,"NS","follow",207,200,58,,,1955
86,5,"NS","follow",159,196,50,,,2086
87,6,"NS","follow",44,67,25,,,669
88,7,"NS","follow",45,61,12,,,513
89,1,"NS","follow",213,130,43,,,2025
90,2,"NS","follow",255,147,52,,,2180
91,3,"NS","follow",198,158,33,,,2136
92,4,"NS","follow",277,148,62,,,2308
93,5,"NS","follow",208,132,49,,,2228
94,6,"NS","follow",108,85,22,,,678
95,7,"NS","follow",57,32,16,,,560
96,1,"NS","follow",184,146,37,,,2016
